1;20-02-2020;What will happen when you mae0;what will happen when you attempt to compile and run the following code;what will happen when you attempt to compile and run the following code;8.0;mae;Long36
2;20-05-2020;Will this following code mae1;Will this following code compile;Will this following code compile;5.0;mae;Long35
3;20-02-2020;What will happen when you SQL0;what will happen when you attempt to compile and run the following SQL0;what will happen when you attempt to compile and run the following SQL0;8.0;sql;Long36
4;20-05-2020;Will this following code SQL1;Will this following code SQL1;Will this following code SQL1;5.0;sql;Long35
5;20-02-2020;What will happen when you cea;what will happen when you attempt to compile and run the following code;what will happen when you attempt to compile and run the following code;8.0;cea;Long36
6;20-05-2020;Will this following code cea1;Will this following code compile;Will this following code compile;5.0;cea;Long35
7;20-02-2020;What will happen when you prf;what will happen when you attempt to compile and run the following SQL0;what will happen when you attempt to compile and run the following SQL0;8.0;prf;Long36
8;20-05-2020;Will this following code prf1;Will this following code SQL1;Will this following code SQL1;5.0;prf;Long35
9;20-02-2020;What will happen when you csi0;what will happen when you attempt to compile and run the following SQL0;what will happen when you attempt to compile and run the following SQL0;8.0;csi;Long36
10;20-05-2020;Will this following code csi1;Will this following code SQL1;Will this following code SQL1;5.0;csi;Long35
11;20-04-2020;learning sql;In order for;In order for objects in a List to be sorted, those objects must implement which interface method?;5.0;sql;Long 28
12;20-02-2020;learning sql step by step;Will this following code;Will this following code;5.0;sql;Long25
13;03-04-2020;Leaning sql 2020;Will this following code;Will this following code;2.0;sql;414;
14;20-2-2021;stupid;t;f;3.5;sql;cuong
